"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "CSV", "SQL", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\finance\features\transactions\api\use-edit-transaction.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Administrator\Desktop\finance\features\transactions\api\use-get-single-transaction.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Administrator\Desktop\finance\features\transactions\api\use-get-transactions.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Administrator\Desktop\finance\features\transactions\components\edit-transaction-sheet.tsx", "TypeScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 14, 136
"c:\Users\Administrator\Desktop\finance\features\transactions\components\new-transaction-sheet.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 83
"c:\Users\Administrator\Desktop\finance\features\transactions\components\transaction-form.tsx", "TypeScript JSX", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 9, 197
"c:\Users\Administrator\Desktop\finance\features\transactions\hooks\use-new-transaction.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Administrator\Desktop\finance\features\transactions\hooks\use-open-transaction.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\finance\hooks\use-confirm.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\Administrator\Desktop\finance\lib\hono.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Administrator\Desktop\finance\lib\statement.csv", "CSV", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\finance\lib\utils.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Administrator\Desktop\finance\middleware.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 5, 22
"c:\Users\Administrator\Desktop\finance\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 5
"c:\Users\Administrator\Desktop\finance\package-lock.json", "JSON", 0, 0, 0, 8703, 0, 0, 0, 0, 0, 0, 1, 8704
"c:\Users\Administrator\Desktop\finance\package.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"c:\Users\Administrator\Desktop\finance\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"c:\Users\Administrator\Desktop\finance\providers\query-provider.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\Administrator\Desktop\finance\providers\sheet-provider.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Administrator\Desktop\finance\tailwind.config.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\Administrator\Desktop\finance\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 3662, 1267, 8887, 3, 11, 8, 86, 23, 6, 697, 14676
